Student name,semester new,coursename
CCH Pounder,Summer 2000,COMPUT LINEAR ALGEBRA
CCH Pounder,Summer 2003,CONTEMPORARY POL.THOUGHT
CCH Pounder,Summer 2001,20th Century Russian Literature: Fiction and Reality
CCH Pounder,Summer 2001,ANALYTICAL MECHANICS
CCH Pounder,Summer 2004,COMMUNICATIONS INTERNSHP
CCH Pounder,Summer 2004,19TH-CENTURY BRITISH LITERATURE
CCH Pounder,Summer 2004,CONTEMPORARY AFRICAN ART
CCH Pounder,Summer 2000,A WORLD AT WAR
CCH Pounder,Summer 2000,ELEMENTARY ARABIC II
CCH Pounder,Summer 2002,19TH-CENT BRITISH LIT
CCH Pounder,Summer 2002,AMERICAN SOUTH 1861-PRES
Kitty Kelley,Summer 2002,COMPUT LINEAR ALGEBRA
Kitty Kelley,Summer 2002,Environmental Case Studies
Kitty Kelley,Summer 2002,FRESHWATER ECOLOGY
Kitty Kelley,Summer 2003,CONTEMPORARY POL.THOUGHT
Kitty Kelley,Summer 2003,AMERICAN HEALTH POLICY
Kitty Kelley,Summer 2004,A WORLD AT WAR
Peter Robinson,Spring 2004,FOOD/FEAST ARCH OF TABLE
Peter Robinson,Fall 2004,FRESHWATER ECOLOGY
Peter Robinson,Fall 2004,CONTEMPORARY POL.THOUGHT
Peter Robinson,Fall 2001,COMPUT LINEAR ALGEBRA
Peter Robinson,Fall 2001,AMERICAN HEALTH POLICY
Peter Robinson,Spring 2003,A WORLD AT WAR
Laura Lippman,Fall 2004,BEHAVIORAL PHARMACOLOGY
Laura Lippman,Fall 2005,CREATIVE WRITING: WRITING PERSONAL ESSAY
Laura Lippman,Fall 2004,AMERICAN FOREIGN POLICY
Laura Lippman,Fall 2001,Environmental Case Studies
Laura Lippman,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Laura Lippman,Fall 2000,COMPUTER LINEAR ALGEBRA
Laura Lippman,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Laura Lippman,Fall 2000,ANALYTICAL MECHANICS
Laura Lippman,Summer 2000,CONTEMPORARY AFRICAN ART
Laura Lippman,Fall 2003,A WORLD AT WAR
Laura Lippman,Spring 2005,CELL. BIOL. & BIOCHEM.
Dom DeLuise,Fall 2000,BEHAVIORAL PHARMACOLOGY
Dom DeLuise,Fall 2001,AMERICAN FOREIGN POLICY
Dom DeLuise,Spring 2002,CURR ISSUES GLOBAL HEALT
Dom DeLuise,Fall 2001,BEG RDG/WRTG CHINESE II
Dom DeLuise,Fall 2003,AMERICAN HEALTH POLICY
Dom DeLuise,Spring 2004,COMPUT LINEAR ALGEBRA
Dom DeLuise,Fall 2004,Environmental Case Studies
Dom DeLuise,Spring 2001,EUR PRE-1800: BF SEM: UTOPIA
Dom DeLuise,Spring 2002,CONTEMPORARY AFRICAN ART
Dom DeLuise,Fall 2000,A WORLD AT WAR
Dom DeLuise,Fall 2002,CEL BIO BIOCHEMISTRY
Dom DeLuise,Fall 2005,AMERICAN HEALT POLICY
Dom DeLuise,Fall 2004,19TH-CENT BRITISH LIT
Sally Field,Summer 2001,BEHAVIORAL PHARMACOLOGY
Sally Field,Summer 2000,AMERICAN FOREIGN POLICY
Sally Field,Spring 2004,COMPUT LINEAR ALGEBRA
Sally Field,Spring 2004,Environmental Case Studies
Sally Field,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Sally Field,Summer 2004,ANALYTICAL MECHANICS
Sally Field,Spring 2005,A WORLD AT WAR
Sally Field,Summer 2001,EUROPE IN A WIDER WORLD
Sally Field,Summer 2004,"EYE, MIND AND IMAGE"
Sally Field,Summer 2002,ELEMENTARY ARABIC II
Sally Field,Summer 2002,FRANCE & THE EUROP.UNION
Clint Black,Fall 2001,COMMUNITY MATH TEACH PRO
Clint Black,Fall 2001,COMPUT LINEAR ALGEBRA
Clint Black,Fall 2002,CONTEMPORARY POL.THOUGHT
Clint Black,Fall 2003,AMERICAN HEALTH POLICY
Clint Black,Spring 2003,FRESHWATER ECOLOGY
Clint Black,Fall 2003,CONTEMPORARY AFRICAN ART
Julie Christie 1995,Summer 2004,FOOD/FEAST ARCH OF TABLE
Julie Christie 1995,Summer 2004,ANALYTICAL MECHANICS
Pat Boone,Fall 2005,BEHAVIORAL PHARMACOLOGY
Pat Boone,Summer 2000,FOOD/FEAST ARCH OF TABLE
Pat Boone,Spring 2005,COMPUT LINEAR ALGEBRA
Pat Boone,Fall 2004,Environmental Case Studies
Pat Boone,Summer 2003,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Pat Boone,Summer 2004,AMERICAN HEALT POLICY
Pat Boone,Summer 2002,CONTEMPORARY AFRICAN ART
Pat Boone,Spring 2005,A WORLD AT WAR
Ed McMahon,Fall 2004,BEHAVIORAL PHARMACOLOGY
Ed McMahon,Spring 2002,FOOD/FEAST ARCH OF TABLE
Ed McMahon,Fall 2002,COMPUT LINEAR ALGEBRA
Ed McMahon,Fall 2001,Environmental Case Studies
Ed McMahon,Summer 2000,BRITAIN SINCE 1945
Ed McMahon,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Ed McMahon,Spring 2002,"ART, from ancient to 1945"
Ed McMahon,Spring 2003,CONTEMP ART - since 1945
Ed McMahon,Fall 2004,ANALYTICAL MECHANICS
Ed McMahon,Spring 2005,CONTEMPORARY AFRICAN ART
Ed McMahon,Fall 2002,A WORLD AT WAR
Ed McMahon,Fall 2005,AMERICAN HEALT POLICY
Ed McMahon,Summer 2000,EXPERIMENTAL WRITING SEM
David Cohen,Fall 2004,BEHAVIORAL PHARMACOLOGY
David Cohen,Spring 2004,AMERICAN FOREIGN POLICY
David Cohen,Fall 2004,COMPUT LINEAR ALGEBRA
David Cohen,Spring 2002,Environmental Case Studies
David Cohen,Spring 2002,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
David Cohen,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
David Cohen,Summer 2001,ANALYTICAL MECHANICS
David Cohen,Spring 2005,20th Century Russian Literature: Fiction and Reality
David Cohen,Summer 2001,COMMUNICATIONS INTERNSHP
David Cohen,Summer 2002,CONTEMPORARY AFRICAN ART
David Cohen,Spring 2001,FRESHWATER ECOLOGY
David Cohen,Spring 2001,A WORLD AT WAR
David Cohen,Spring 2005,ELEMENTARY ARABIC II
Bill Blass,Spring 2001,COMPUT LINEAR ALGEBRA
Bill Blass,Fall 2003,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Lucille Ball,Summer 2004,COMPUT LINEAR ALGEBRA
Lucille Ball,Summer 2004,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
H. Norman Schwarzkopf,Summer 2002,AMERICAN HEALTH POLICY
H. Norman Schwarzkopf,Summer 2004,COMPUT LINEAR ALGEBRA
H. Norman Schwarzkopf,Summer 2004,AMERICAN HEALT POLICY
H. Norman Schwarzkopf,Summer 2002,A WORLD AT WAR
Jan Burke,Fall 2000,BEHAVIORAL PHARMACOLOGY
Jan Burke,Fall 2005,AMERICAN FOREIGN POLICY
Jan Burke,Fall 2004,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Jan Burke,Fall 2001,COMPUT LINEAR ALGEBRA
Jan Burke,Fall 2001,Environmental Case Studies
Jan Burke,Fall 2003,CONTEMP ART - 1945 to today
Jan Burke,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Jan Burke,Fall 2003,AMERICAN HEALT POLICY
Jan Burke,Fall 2002,ART - ancient to 1945
Jan Burke,Fall 2002,ANALYTICAL MECHANICS
Jan Burke,Fall 2005,CONTEMPORARY AFRICAN ART
Jan Burke,Fall 2004,Environmental Studies Research Seminar for Juniors
Jan Burke,Fall 2000,A WORLD AT WAR
Bryant Gumbel,Fall 2005,BEHAVIORAL PHARMACOLOGY
Bryant Gumbel,Fall 2005,FOOD/FEAST ARCH OF TABLE
Bryant Gumbel,Fall 2002,COMPUT LINEAR ALGEBRA
Bryant Gumbel,Fall 2003,Environmental Case Studies
Bryant Gumbel,Spring 2001,ART ancient to 1945
Bryant Gumbel,Fall 2004,EUR PRE-1800: BF SEM: UTOPIA
Bryant Gumbel,Fall 2004,ANALYTICAL MECHANICS
Bryant Gumbel,Spring 2003,CONTEMPORARY AFRICAN ART
Bryant Gumbel,Fall 2003,A WORLD AT WAR
Bryant Gumbel,Spring 2001,ELEMENTARY ARABIC II
Bryant Gumbel,Spring 2002,ELEMENTARY FRENCH I
Bryant Gumbel,Spring 2002,ELEMENTARY FRENCH II
Bryant Gumbel,Spring 2003,ART AND RELIGION
F. Lee Bailey,Fall 2005,BEHAVIORAL PHARMACOLOGY
F. Lee Bailey,Spring 2001,AMERICAN FOREIGN POLICY
F. Lee Bailey,Summer 2002,AMERICAN HEALTH POLICY
F. Lee Bailey,Fall 2003,COMPUT LINEAR ALGEBRA
F. Lee Bailey,Fall 2004,Environmental Case Studies
F. Lee Bailey,Spring 2002,AMERICAN HEALT POLICY
F. Lee Bailey,Fall 2005,ANALYTICAL MECHANICS
F. Lee Bailey,Summer 2001,CONTEMPORARY AFRICAN ART
F. Lee Bailey,Summer 2001,AESTHETICS
F. Lee Bailey,Fall 2004,A WORLD AT WAR
F. Lee Bailey,Spring 2004,CELL and BIO and BIOCHEMISTRY
F. Lee Bailey,Spring 2005,ELEMENTARY FRENCH I
F. Lee Bailey,Spring 2005,ELEMENTARY FRENCH II
Steven Spielberg,Summer 2000,BEHAVIORAL PHARMACOLOGY
Steven Spielberg,Summer 2004,AMERICAN FOREIGN POLICY
Steven Spielberg,Summer 2003,CRIME AND DETECTION: Dark Deeds
Steven Spielberg,Summer 2003,BIOLOGICAL CHEMISTRY II
Steven Spielberg,Summer 2002,"CONTMP POL,POLICY,JOURN"
Steven Spielberg,Summer 2001,COMPUT LINEAR ALGEBRA
Steven Spielberg,Spring 2005,Environmental Case Studies
Steven Spielberg,Summer 2000,ACCELERATED INTERMD GRMN
Steven Spielberg,Summer 2001,ANALYTICAL MECHANICS
Steven Spielberg,Summer 2004,CONTEMPORARY AFRICAN ART
Steven Spielberg,Summer 2002,A WORLD AT WAR
Steven Spielberg,Spring 2005,COMPARATIVE POLITICS
Gary Remal,Summer 2001,AMERICAN FOREIGN POLICY
Gary Remal,Spring 2005,COMPUT LINEAR ALGEBRA
Gary Remal,Spring 2005,Environmental Case Studies
Gary Remal,Summer 2004,AMERICAN HEALT POLICY
Gary Remal,Spring 2002,A WORLD AT WAR
Gary Remal,Spring 2002,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Gary Remal,Summer 2002,ELEMENTARY ARABIC II
Gary Remal,Summer 2002,ELEMENTARY FRENCH I
Gene Tierney (Lee),Fall 2002,COMPUT LINEAR ALGEBRA
Gene Tierney (Lee),Fall 2004,Environmental Case Studies
Kofi A. Annan,Spring 2001,BEHAVIORAL PHARMACOLOGY
Matthew Modine,Spring 2001,BEHAVIORAL PHARMACOLOGY
Matthew Modine,Fall 2001,AMERICAN FOREIGN POLICY
Kofi A. Annan,Fall 2001,AMERICAN FOREIGN POLICY
Matthew Modine,Fall 2004,BIOLOGICAL CHEMISTRY II
Kofi A. Annan,Fall 2004,BIOLOGICAL CHEMISTRY II
Matthew Modine,Fall 2002,COMPUT LINEAR ALGEBRA
Kofi A. Annan,Fall 2002,COMPUT LINEAR ALGEBRA
Kofi A. Annan,Fall 2001,Environmental Case Studies
Matthew Modine,Fall 2001,Environmental Case Studies
Matthew Modine,Fall 2005,ECONOMETRICS
Kofi A. Annan,Fall 2005,ECONOMETRICS
Matthew Modine,Fall 2003,ANALYTICAL MECHANICS
Kofi A. Annan,Fall 2003,ANALYTICAL MECHANICS
Matthew Modine,Spring 2002,CONTEMPORARY AFRICAN ART
Kofi A. Annan,Spring 2002,CONTEMPORARY AFRICAN ART
Kofi A. Annan,Fall 2000,A WORLD AT WAR
Matthew Modine,Fall 2000,A WORLD AT WAR
Kofi A. Annan,Fall 2004,AMERICAN POETRY
Matthew Modine,Fall 2004,AMERICAN POETRY
Matthew Modine,Spring 2001,ELEMENTARY ARABIC II
Kofi A. Annan,Spring 2001,ELEMENTARY ARABIC II
Kofi A. Annan,Fall 2003,ELEMENTARY FRENCH I
Matthew Modine,Fall 2003,ELEMENTARY FRENCH I
Matthew Modine,Fall 2005,COMPARATIVE POLITICS
Kofi A. Annan,Fall 2005,COMPARATIVE POLITICS
Whoopi Goldberg,Fall 2001,BEHAVIORAL PHARMACOLOGY
Whoopi Goldberg,Fall 2003,AMERICAN FOREIGN POLICY
Whoopi Goldberg,Spring 2001,BEG RDG/WRTG CHINESE II
Whoopi Goldberg,Fall 2003,Environmental Case Studies
Whoopi Goldberg,Fall 2000,COMPUTER LINEAR ALGEBRA
Whoopi Goldberg,Fall 2005,ANALYTICAL MECHANICS
Whoopi Goldberg,Spring 2004,COMMUNICATIONS INTERNSHP
Whoopi Goldberg,Spring 2004,CONTEMPORARY AFRICAN ART
Whoopi Goldberg,Fall 2001,A WORLD AT WAR
Whoopi Goldberg,Spring 2001,AMERICAN POETRY
Whoopi Goldberg,Spring 2003,CELL BIOLOGY and BIOCHEMISTRY
Whoopi Goldberg,Fall 2004,EXPERIMENTAL WRITING SEM
Whoopi Goldberg,Spring 2002,ELEMENTARY FRENCH I
John Tesh,Fall 2005,BEHAVIORAL PHARMACOLOGY
John Tesh,Fall 2005,AMERICAN FOREIGN POLICY
John Tesh,Spring 2002,BIOLOGICAL CHEMISTRY II
John Tesh,Fall 2004,COMPUT LINEAR ALGEBRA
John Tesh,Fall 2003,Environmental Case Studies
John Tesh,Summer 2000,BRITAIN SINCE 1945
John Tesh,Spring 2004,ANALYTICAL MECHANICS
John Tesh,Summer 2004,CONTEMPORARY AFRICAN ART
John Tesh,Summer 2001,AESTHETICS
John Tesh,Fall 2002,A WORLD AT WAR
John Tesh,Spring 2005,CELL. BIOL. & BIOCHEM.
John Tesh,Summer 2002,ANALYZING THE POL WORLD
John Tesh,Summer 2002,ELEMENTARY FRENCH I
John Paul Stevens,Spring 2002,BEHAVIORAL PHARMACOLOGY
John Paul Stevens,Summer 2002,FOOD/FEAST ARCH OF TABLE
John Paul Stevens,Spring 2005,AMERICAN HEALTH POLICY
John Paul Stevens,Spring 2003,COMPUT LINEAR ALGEBRA
John Paul Stevens,Spring 2002,Environmental Case Studies
John Paul Stevens,Summer 2001,AMERICAN HEALT POLICY
John Paul Stevens,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
John Paul Stevens,Summer 2000,ACCELERATED INTERMD GRMN
John Paul Stevens,Spring 2004,ANALYTICAL MECHANICS
John Paul Stevens,Summer 2001,CONTEMPORARY AFRICAN ART
John Paul Stevens,Summer 2000,FRESHWATER ECOLOGY
John Paul Stevens,Spring 2004,A WORLD AT WAR
John Paul Stevens,Spring 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
John Paul Stevens,Summer 2002,19TH-CENT BRITISH LIT
Laurie Metcalf,Spring 2003,FOOD/FEAST ARCH OF TABLE
Laurie Metcalf,Fall 2003,Environmental Case Studies
Laurie Metcalf,Summer 2000,BRITAIN SINCE 1945
Laurie Metcalf,Summer 2001,AMERICAN HEALT POLICY
Laurie Metcalf,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Laurie Metcalf,Spring 2003,ANALYTICAL MECHANICS
Laurie Metcalf,Summer 2000,CONTEMPORARY AFRICAN ART
Laurie Metcalf,Spring 2005,BECOMING HUMAN
Laurie Metcalf,Spring 2004,EPIC TRADITIONS OF INDIA
Laurie Metcalf,Spring 2004,ELEMENTARY ARABIC II
Ellen Burstyn,Spring 2002,BEHAVIORAL PHARMACOLOGY
Ellen Burstyn,Spring 2002,FOOD/FEAST ARCH OF TABLE
Ellen Burstyn,Spring 2005,AMERICAN HEALTH POLICY
Ellen Burstyn,Fall 2004,COMPUT LINEAR ALGEBRA
Ellen Burstyn,Spring 2005,CONTEMPORARY POL.THOUGHT
Ellen Burstyn,Spring 2004,Environmental Case Studies
Ellen Burstyn,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Ellen Burstyn,Fall 2004,Business German: A Micro Perspective
Ellen Burstyn,Spring 2003,ANALYTICAL MECHANICS
Ellen Burstyn,Spring 2004,COMMUNICATIONS INTERNSHP
Ellen Burstyn,Summer 2000,CONTEMPORARY AFRICAN ART
Ellen Burstyn,Summer 2000,FRESHWATER ECOLOGY
Ellen Burstyn,Spring 2001,A WORLD AT WAR
Ellen Burstyn,Fall 2003,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Patrick Stewart,Spring 2001,Environmental Case Studies
Joel Grey,Spring 2002,COMPUT LINEAR ALGEBRA
Jerry Lewis,Fall 2003,ELEM MODERN HEBREW I
Jerry Lewis,Fall 2003,COMPUT LINEAR ALGEBRA
Jerry Lewis,Fall 2002,CONTEMPORARY POL.THOUGHT
Jerry Lewis,Fall 2002,CONTEMPORARY AFRICAN ART
Jerry Lewis,Fall 2004,AMERICAN HEALTH POLICY
Jerry Lewis,Fall 2000,CEL BIO BIOCHEMISTRY
Jerry Lewis,Fall 2000,BIOCHEMISTRY RESEARCH
Willard Scott,Fall 2001,BEHAVIORAL PHARMACOLOGY
Willard Scott,Fall 2004,CREATIVE WRITING: WRITING PERSONAL ESSAY
Willard Scott,Fall 2002,AMERICAN FOREIGN POLICY
Willard Scott,Fall 2000,ENVIRONMENTAL SYSTEMS II
Willard Scott,Fall 2000,COMPUTER LINEAR ALGEBRA
Willard Scott,Fall 2002,ANALYTICAL MECHANICS
Willard Scott,Fall 2004,CONTEMPORARY AFRICAN ART
Willard Scott,Fall 2001,A WORLD AT WAR
Willard Scott,Fall 2005,CELL BIOL & BIOCHEM
Willard Scott,Fall 2003,EXPERIMENTAL WRITING SEM
Glenda Jackson,Fall 2003,BEHAVIORAL PHARMACOLOGY
Glenda Jackson,Spring 2002,FOOD/FEAST ARCH OF TABLE
Glenda Jackson,Spring 2001,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Glenda Jackson,Fall 2001,COMPUT LINEAR ALGEBRA
Glenda Jackson,Fall 2001,Environmental Case Studies
Glenda Jackson,Fall 2005,ECONOMETRICS
Glenda Jackson,Fall 2002,ANALYTICAL MECHANICS
Glenda Jackson,Spring 2002,CONTEMPORARY AFRICAN ART
Glenda Jackson,Fall 2002,A WORLD AT WAR
Glenda Jackson,Fall 2005,CELL BIOL & BIOCHEM
Glenda Jackson,Fall 2003,EXPERIMENTAL WRITING SEM
Glenda Jackson,Fall 2004,AMERICAN HEALTH POLICY
Glenda Jackson,Fall 2004,ELEMENTARY FRENCH I
Mary Higgins Clark,Fall 2002,COMPUT LINEAR ALGEBRA
Mary Higgins Clark,Fall 2002,Environmental Case Studies
Mary Higgins Clark,Fall 2004,A WORLD AT WAR
TJessica Tandy,Spring 2002,BEHAVIORAL PHARMACOLOGY
TJessica Tandy,Spring 2003,AMERICAN FOREIGN POLICY
TJessica Tandy,Fall 2005,COMPUT LINEAR ALGEBRA
TJessica Tandy,Spring 2001,Environmental Case Studies
TJessica Tandy,Spring 2004,AMERICAN HEALT POLICY
TJessica Tandy,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
TJessica Tandy,Spring 2005,ANALYTICAL MECHANICS
TJessica Tandy,Summer 2002,CONTEMPORARY AFRICAN ART
TJessica Tandy,Summer 2000,FRESHWATER ECOLOGY
TJessica Tandy,Summer 2001,AESTHETICS
TJessica Tandy,Summer 2002,French Thought Since 1945
TJessica Tandy,Spring 2002,A WORLD AT WAR
TJessica Tandy,Summer 2000,EXPERIMENTAL WRITING SEM
"Sean Faircloth,",Fall 2003,BEHAVIORAL PHARMACOLOGY
"Sean Faircloth,",Spring 2003,DEVIL'S PACT LIT/FILM
"Sean Faircloth,",Fall 2001,COMPUT LINEAR ALGEBRA
"Sean Faircloth,",Spring 2002,CONTEMPORARY POL.THOUGHT
"Sean Faircloth,",Fall 2001,Environmental Case Studies
"Sean Faircloth,",Spring 2001,ART ancient to 1945
"Sean Faircloth,",Spring 2001,EUR PRE-1800: BF SEM: UTOPIA
"Sean Faircloth,",Fall 2004,ANALYTICAL MECHANICS
"Sean Faircloth,",Spring 2002,CONTEMPORARY AFRICAN ART
"Sean Faircloth,",Fall 2004,Environmental Studies Research Seminar for Juniors
"Sean Faircloth,",Fall 2002,A WORLD AT WAR
"Sean Faircloth,",Fall 2003,FOOD/FEAST ARCH OF TABLE
"Sean Faircloth,",Fall 2005,AMERICAN HEALT POLICY
State Representative,Spring 2005,COMPUT LINEAR ALGEBRA
State Representative,Spring 2005,Environmental Case Studies
Janet Evanovich,Fall 2001,BEHAVIORAL PHARMACOLOGY
Janet Evanovich,Fall 2002,AMERICAN FOREIGN POLICY
Janet Evanovich,Fall 2003,COMPUT LINEAR ALGEBRA
Janet Evanovich,Fall 2000,ENVIRONMENTAL SYSTEMS II
Janet Evanovich,Spring 2001,EUR PRE-1800: BF SEM: UTOPIA
Janet Evanovich,Fall 2001,ANALYTICAL MECHANICS
Janet Evanovich,Spring 2002,CONTEMPORARY AFRICAN ART
Janet Evanovich,Fall 2000,A WORLD AT WAR
Janet Evanovich,Spring 2001,CELL BIOLOGY and BIOCHEM
Janet Evanovich,Fall 2002,EXPERIMENTAL WRITING SEM
Janet Evanovich,Fall 2003,1ST YR CLASSICAL CHIN II
Janet Evanovich,Fall 2005,ELEMENTARY GERMAN I
Howard Keel,Spring 2004,COMPUT LINEAR ALGEBRA
Howard Keel,Spring 2005,CONTEMPORARY POL.THOUGHT
Howard Keel,Summer 2001,Environmental Case Studies
Howard Keel,Summer 2001,ART - from ancient to 1945
Howard Keel,Summer 2002,French Thought Since 1945
Howard Keel,Spring 2005,A WORLD AT WAR
Howard Keel,Spring 2004,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
KEwing Kauffman,Summer 2001,BEHAVIORAL PHARMACOLOGY
KEwing Kauffman,Summer 2002,FOOD/FEAST ARCH OF TABLE
KEwing Kauffman,Spring 2005,COMPUT LINEAR ALGEBRA
KEwing Kauffman,Spring 2005,Environmental Case Studies
KEwing Kauffman,Summer 2004,ANALYTICAL MECHANICS
KEwing Kauffman,Summer 2001,A WORLD AT WAR
KEwing Kauffman,Summer 2002,AMERICAN HEALTH POLICY
KEwing Kauffman,Summer 2004,ELEMENTARY FRENCH I
Jackie Collins,Spring 2001,AMERICAN FOREIGN POLICY
Jackie Collins,Fall 2003,COMPUT LINEAR ALGEBRA
Jackie Collins,Fall 2001,Environmental Case Studies
Jackie Collins,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Jackie Collins,Spring 2002,ANALYTICAL MECHANICS
Jackie Collins,Fall 2000,A WORLD AT WAR
Jackie Collins,Summer 2002,CEL BIO BIOCHEMISTRY
Jackie Collins,Fall 2004,EVIDENCED BASED CRIME & JUSTICE POLICY
Jackie Collins,Summer 2004,ELEMENTARY ARABIC II
Jackie Collins,Spring 2004,ELEMENTARY FRENCH I
Jackie Collins,Spring 2005,ELEMENTARY FRENCH II
Jackie Collins,Summer 2001,COGNITIVE PSYCHOLOGY
Molly Ivins,Summer 2001,BEHAVIORAL PHARMACOLOGY
Molly Ivins,Summer 2004,FOOD/FEAST ARCH OF TABLE
Molly Ivins,Spring 2005,COMPUT LINEAR ALGEBRA
Molly Ivins,Spring 2004,Environmental Case Studies
Molly Ivins,Summer 2004,AMERICAN HEALT POLICY
Molly Ivins,Summer 2003,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Molly Ivins,Spring 2004,ANALYTICAL MECHANICS
Molly Ivins,Summer 2001,A WORLD AT WAR
Molly Ivins,Summer 2002,ELEMENTARY FRENCH I
Margaret Geller,Spring 2002,BEHAVIORAL PHARMACOLOGY
Margaret Geller,Spring 2005,AMERICAN HEALTH POLICY
Margaret Geller,Spring 2001,COMPUT LINEAR ALGEBRA
Margaret Geller,Spring 2001,Environmental Case Studies
Margaret Geller,Summer 2004,AMERICAN HEALT POLICY
Margaret Geller,Summer 2002,FRESHWATER ECOLOGY
Margaret Geller,Spring 2004,A WORLD AT WAR
Margaret Geller,Summer 2001,EXPERIMENTAL WRITING SEM
Michael Ansara,Summer 2004,BEHAVIORAL PHARMACOLOGY
Michael Ansara,Summer 2004,AMERICAN FOREIGN POLICY
Michael Ansara,Summer 2002,COMPUT LINEAR ALGEBRA
Michael Ansara,Summer 2001,Environmental Case Studies
Michael Ansara,Summer 2003,ANALYTICAL MECHANICS
Michael Ansara,Summer 2002,A WORLD AT WAR
Michael Ansara,Summer 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Billy Collins,Spring 2004,BEHAVIORAL PHARMACOLOGY
Billy Collins,Summer 2004,CREATIVE WRITING: WRITING PERSONAL ESSAY
Billy Collins,Spring 2004,FOOD/FEAST ARCH OF TABLE
Billy Collins,Summer 2001,ECONOMETRIC FORECASTING
Billy Collins,Summer 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Billy Collins,Summer 2002,AFRO AMER HIST 1876-PRES
Billy Collins,Summer 2001,AMERICAN HEALTH POLICY
Billy Collins,Summer 2002,BEHAVIORAL ECON & PSYCH
Billy Collins,Spring 2002,COMPUT LINEAR ALGEBRA
Billy Collins,Spring 2002,Environmental Case Studies
Billy Collins,Summer 2000,ACCELERATED INTERMD GRMN
Billy Collins,Spring 2003,ANALYTICAL MECHANICS
Billy Collins,Spring 2005,20th Century Russian Literature: Fiction and Reality
Billy Collins,Summer 2004,CONTEMPORARY AFRICAN ART
Billy Collins,Spring 2003,A WORLD AT WAR
Billy Collins,Summer 2003,CREAT.NON-FICTION WRIT
